site_code,article_code,dept_code,section_code,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23
1,18320,69,499,5888.4,24655.45,50609.09,27071.78,25055.35,9982,10891.83,19339.77,16170,38382.7,34738.31,31446.7,28725.2,29217.85,36727.6,21780.18,17869,16674,25659.03,31516.6,17771.7,5542,22814.7,30114.2,22297.04,16346.49,24980.4,6390.6,4422,3477.34,12279.16,31799,49304.03,44441.77,19600,20126.85,15350,52063.31,49053.66,2950,5700,20028,29666,38801,48886,62669.2,16976,24915
1,52080,5795,5618,6318.1,7617.05,15058.55,6589.86,4830.21,8962.56,2373.5,8516.57,15875.54,34281.56,17786.16,23135.71,14868.22,3075.07,2351.31,0,139.31,3610.34,5898.09,10023.17,10253,2738,7325.21,13051.83,7399.35,4716.8,2658.01,2329,5373,5623.17,6481.82,13302.02,14570.56,12585.18,6768.9,4913.91,3600.02,4525,9219.42,4950.11,2946.54,5520.03,8912,12342.2,16968,4487,9542,2914
1,48117,106,42,1894,2930.12,3692.47,2792,0,209.3,1197,5453.94,13460,16016.17,9948.09,8526.77,5157.84,655.19,9063.54,3623.34,3690,4886.01,4019.1,0,0,0,0,0,0,0,0,0,0,798.01,1073.5,2458.6,6581.6,12449.49,10013,8456.9,12274.08,6682.79,8474,4789.9,4554.3,2375,2375,2774,2774,950,3515.01,6070.5
1,18134,152,5922,10651.7,15522.02,8995.84,3744.49,2593,4107.4,17562.9,67093.85,58150.33,72332.16,70411.01,61155.11,50171.12,35404.82,49832.68,7122.25,6681,5383.62,28200.54,0,0,0,0,0,0,0,0,0,0,6444.93,4847,11249,27902.06,22989.05,24074.87,20734.6,19395.29,21816.53,13335.88,10437.06,6767,4443.97,9306,12553,14696,12523,7760,10001.8
