store,site_code,st_type,tier,op.date,sqft,store_format,region,zone,fdu.non.fdu,apparel_area,festival
East NSO 14 (23-24),10000036,NSO,iii,2024-02-01T00:00:00Z,7500,Fashion,WB1,East/Jhk,fdu,5625,purepujo
East NSO 17 (23-24),10000037,NSO,iii,2024-02-01T00:00:00Z,7500,Fashion,WB1,East/Jhk,fdu,5625,purepujo
East NSO 9 (23-24),10000038,NSO,iii,2024-02-01T00:00:00Z,7400,Fashion,NE,East/Jhk,fdu,5550,purepujo
North NSO 8 (23-24),10000039,NSO,i,2024-02-01T00:00:00Z,7500,Fashion,J and K,North,fdu,5625,dc
North NSO 9 (23-24),10000040,NSO,iii,2024-02-01T00:00:00Z,7500,Fashion,GUJRAT,North,fdu,5625,dc
East NSO 15 (23-24),10000041,NSO,iii,2024-02-20T00:00:00Z,7500,Fashion,WB1,East/JHK,fdu,5625,purepujo
Bihar NSO 10 (23-24),10000042,NSO,i,2024-03-01T00:00:00Z,7400,Fashion,BIHAR 1,Bihar,fdu,5550,pdc
Bihar NSO 5 (23-24),10000043,NSO,iii,2024-03-01T00:00:00Z,7500,Fashion,BIHAR 2,Bihar,fdu,5625,pdc
East NSO 6 (23-24),10000044,NSO,iii,2024-03-01T00:00:00Z,7500,Fashion,WB1,East/Jhk,fdu,5625,purepujo
East NSO 7 (23-24),10000045,NSO,iii,2024-03-01T00:00:00Z,7500,Fashion,NE,East/Jhk,fdu,5625,purepujo
UP NSO 13 (23-24),10000046,NSO,iii,2024-03-01T00:00:00Z,7500,Fashion,UP10,UP East,fdu,5625,dc
NSO_1,10000047,NSO,iii,2024-04-20T00:00:00Z,7500,Fashion,UP2,UP East,fdu,5625,dc
NSO_2,10000048,NSO,iii,2024-04-20T00:00:00Z,7500,Fashion,UK,North,fdu,5625,dc
NSO_3,10000049,NSO,iii,2024-04-20T00:00:00Z,8855,Fashion,UP13,UP East,fdu,6174.694564,dc
NSO_4,10000050,NSO,iii,2024-04-20T00:00:00Z,7500,Fashion,UK,North,fdu,5625,dc
NSO_5,10000051,NSO,iii,2024-04-20T00:00:00Z,9736,Fashion,MP2,North,fdu,8081.434068,dc
NSO_10,10000052,NSO,iii,2024-05-20T00:00:00Z,7500,Fashion,BIHAR 2,Bihar,fdu,5625,pdc
NSO_11,10000053,NSO,iii,2024-05-20T00:00:00Z,7500,Fashion,BIHAR 3,Bihar,fdu,5625,pdc
NSO_6,10000054,NSO,iii,2024-05-20T00:00:00Z,7500,Fashion,RAJASTHAN-2,North,fdu,5625,dc
NSO_7,10000055,NSO,iii,2024-05-20T00:00:00Z,7500,Fashion,BIHAR 3,Bihar,fdu,5625,pdc
NSO_8,10000056,NSO,iii,2024-05-20T00:00:00Z,7500,Fashion,BIHAR 2,Bihar,fdu,5625,pdc
NSO_9,10000057,NSO,iii,2024-06-20T00:00:00Z,7500,Fashion,BIHAR 4,Bihar,fdu,5625,pdc
NSO_12,10000058,NSO,iii,2024-06-20T00:00:00Z,7500,Fashion,WB1,East/JHK,fdu,5625,purepujo
NSO_13,10000059,NSO,iii,2024-06-20T00:00:00Z,7500,Fashion,WB1,East/JHK,fdu,5625,purepujo
NSO_14,10000060,NSO,iii,2024-06-20T00:00:00Z,7500,Fashion,JHK2,East/JHK,fdu,5625,pdc
NSO_15,10000061,NSO,iii,2024-06-20T00:00:00Z,7500,Fashion,JHK2,East/JHK,fdu,5625,pdc
NSO_16,10000062,NSO,iii,2024-07-20T00:00:00Z,7500,Fashion,NE,East/JHK,fdu,5625,purepujo
NSO_17,10000063,NSO,iii,2024-07-20T00:00:00Z,7500,Fashion,NE,East/JHK,fdu,5625,purepujo
NSO_18,10000064,NSO,iii,2024-07-20T00:00:00Z,7500,Fashion,NE,East/JHK,fdu,5625,purepujo
NSO_19,10000065,NSO,iii,2024-07-20T00:00:00Z,7500,Fashion,NE,East/JHK,fdu,5625,purepujo
NSO_20,10000066,NSO,iii,2024-07-20T00:00:00Z,7500,Fashion,UK,North,fdu,5625,dc
NSO_21,10000067,NSO,iii,2024-08-20T00:00:00Z,7500,Fashion,RAJASTHAN-2,North,fdu,5625,dc
NSO_22,10000068,NSO,iii,2024-08-20T00:00:00Z,7500,Fashion,MP2,North,fdu,5625,dc
NSO_23,10000069,NSO,iii,2024-08-20T00:00:00Z,7500,Fashion,DELHI NCR,North,fdu,5625,dc
NSO_24,10000070,NSO,iii,2024-08-20T00:00:00Z,7500,Fashion,MP1,North,fdu,5625,dc
